Título;ISSN impresa;ISSN en linea;Instituto;URL
Prometeica;1852-9488;;CONICET - Emiliano Aldegani;https://www.scimagojr.com/journalsearch.php?q=21100921059&tip=sid&clean=0
Revista Argentina de Ciencias del Comportamiento;1852-4206;;Universidad Nacional de Cordoba - Facultad de Psicologia;https://www.scimagojr.com/journalsearch.php?q=21100877822&tip=sid&clean=0
Horticultura Argentina;0327-3431;1851-9342;Asociacion Argentina de Horticultura - ASAHO;https://www.scimagojr.com/journalsearch.php?q=21101144304&tip=sid&clean=0
Archivos de Historia del Movimiento Obrero y la Izquierda;2683-9601;2313-9749;Centro de Estudios Historicos de los Trabajadores y las Izquierdas;https://www.scimagojr.com/journalsearch.php?q=21101039620&tip=sid&clean=0
Mundo Agrario;1515-5994;;Universidad Nacional de La Plata;https://www.scimagojr.com/journalsearch.php?q=12100155657&tip=sid&clean=0
Scripta Mediaevalia;1851-8753;2362-4868;Editorial de la Facultad de Filosofia y Letras de la Universidad Nacional de Cuyo;https://www.scimagojr.com/journalsearch.php?q=21100937889&tip=sid&clean=0
Ciencia del Suelo;0326-3169;;Asociacion Argentina de la Ciencia del Suelo;https://www.scimagojr.com/journalsearch.php?q=73135&tip=sid&clean=0
Poblacion y Sociedad;1852-8562;0328-3445;undefined;https://www.scimagojr.com/journalsearch.php?q=21100447821&tip=sid&clean=0
Meteorologica;1850-468X;0325-187X;Centro Argentino de Meteorologos;https://www.scimagojr.com/journalsearch.php?q=21100781512&tip=sid&clean=0
AgriScientia;1668-298X;0327-6244;Universidad Nacional de Cordoba;https://www.scimagojr.com/journalsearch.php?q=19400157227&tip=sid&clean=0
Anales de la Asociacion Fisica Argentina;1850-1168;;Centro de Investigaciones en Laseres y Aplicaciones;https://www.scimagojr.com/journalsearch.php?q=21100896996&tip=sid&clean=0
Acta Zoologica Lilloana;0065-1729;1852-6098;Fundacion Miguel Lillo;https://www.scimagojr.com/journalsearch.php?q=21101113620&tip=sid&clean=0
Revista Juridica Austral;2684-057X;2684-0537;Austral University;https://www.scimagojr.com/journalsearch.php?q=21101134367&tip=sid&clean=0
Quinto Sol;0329-2665;1851-2879;Universidad Nacional de La Pampa;https://www.scimagojr.com/journalsearch.php?q=21100227421&tip=sid&clean=0
Salud, Ciencia y Tecnologia;2796-9711;;Editorial Salud, Ciencia y TecnologÃ­a;https://www.scimagojr.com/journalsearch.php?q=21101131037&tip=sid&clean=0
