Título;ISSN impresa;ISSN en linea;Área;Instituto
Boletín de literatura comparada;0325-3775;2683-8397;Ciencias sociales y humanidades;null
Boletín del Instituto de Historia Argentina y Americana Dr Emilio Ravignani;0524-9767;1850-2563;Ciencias sociales y humanidades;null
Boletín geográfico (Neuquén);0326-1735;2313-903X;Ciencias sociales y humanidades;null
Bonplandia;0524-0476;1853-8460;Ciencias biológicas y de la salud;null
Calamus (Ciudad Autónoma de Buenos Aires);null;2545-627X;Ciencias sociales y humanidades;Sociedad Argentina de Estudios Medievales
Cátedra paralela (En línea);null;2683-9393;Ciencias sociales y humanidades;Facultad de Ciencia Política y Relaciones Internacionales, Universidad Nacional de Rosario 
CELEHIS (Mar del Plata);null;2313-9463;Ciencias sociales y humanidades;null
Ciclos en la historia, la economía y la sociedad;0327-4063;1851-3735;Ciencias sociales y humanidades;null
Ciencia del suelo;0326-3169;1850-2067;Ciencias agrarias, ingeniería y materiales;null
Ciencia veterinaria (En línea);null;1853-8495;Ciencias biológicas y de la salud;null
Ciencia, docencia y tecnología;0327-5566;1851-1716;Ciencias sociales y humanidades;null
Ciencias administrativas;null;2314-3738;Ciencias sociales y humanidades;null
Ciencias agronómicas;1853-4333;2250-8872;Ciencias agrarias, ingeniería y materiales;null
Circe de clásicos y modernos;1514-3333;1851-1724;Ciencias sociales y humanidades;null
Clepsidra (Ciudad Autónoma de Buenos Aires);null;2362-2075;Ciencias sociales y humanidades;Instituto de Desarrollo Económico y Social Núcleo de Estudios sobre Memoria
Clio y asociados (En línea);null;2362-3063;Ciencias sociales y humanidades;Facultad de Formación Docente en Ciencias, Universidad Nacional del Litoral
Colección – Escuela de Ciencias Políticas. Universidad Católica Argentina Santa María de los Buenos Aires;0328-7998;1850-003X;Ciencias sociales y humanidades;null
Comechingonia;0326-7911;1851-0027;Ciencias sociales y humanidades;null
Confabulaciones (San Miguel de Tucumán);null;2545-8736;Ciencias sociales y humanidades;Universidad Nacional de Tucumán
Contabilidad y auditoría (Buenos Aires);1515-2340;1852-446X;Ciencias sociales y humanidades;null
Coordenadas (Río Cuarto);null;2362-4752;Ciencias sociales y humanidades;Universidad Nacional de Río Cuarto 
Corpus (Mendoza);null;1853-8037;Ciencias sociales y humanidades;null
Costos y gestión (En línea);null;2545-8329;Ciencias sociales y humanidades;Instituto Argentino de Profesores Universitarios de Costos
Crítica y resistencias (En línea);null;2525-0841;Ciencias sociales y humanidades;Universidad Nacional de Córdoba, Universidad Católica de Córdoba
Cuaderno urbano;1666-6186;1853-3655;Ciencias agrarias, ingeniería y materiales;null
Cuadernos de antropología social;0327-3776;1850-275X;Ciencias sociales y humanidades;null
Cuadernos de economía crítica (En línea);null;2525-1538;Ciencias sociales y humanidades;Sociedad de Economía Crítica
Cuadernos de extensión universitaria de la UNLPam (En linea);null;2718-7500;Ciencias sociales y humanidades;Universidad Nacional de La Pampa
Cuadernos de H ideas;1851-8206;2313-9048;Ciencias sociales y humanidades;null
Cuadernos de Herpetología;0326-551X;1852-5768;Ciencias exactas y naturales ;null
Cuadernos de historia de España (En línea);null;1850-2717;Ciencias sociales y humanidades;Facultad de Filosofía y Letras Universidad de Buenos Aires
Cuadernos de historia del arte (En línea);null;2618-5555;Ciencias sociales y humanidades;Facultad de Filosofía y Letras, Universidad Nacional de Cuyo
Cuadernos de historia. Serie Economía y Sociedad (En línea);null;2422-7544;Ciencias sociales y humanidades;Facultad de Filosofía y Humanidades, Universidad Nacional de Córdoba 
Cuadernos de la Facultad de Humanidades y Ciencias Sociales. Universidad Nacional de Jujuy;null;1668-8104;Ciencias sociales y humanidades;null
Cuadernos de Literatura (Universidad Nacional del Nordeste. En línea);null;2684-0499;Ciencias sociales y humanidades;Facultad de Humanidades Universidad Nacional del Nordeste
Cuadernos de política exterior argentina (En línea);null;1852-7213;Ciencias sociales y humanidades;Centro de Estudios en Relaciones Internacionales de Rosario 
Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos;1668-0227;1853-3523;Ciencias sociales y humanidades;null
Cuadernos del CILHA;1515-6125;1852-9615;Ciencias sociales y humanidades;null
Cuadernos del CURIHAM (En línea);null;2683-8168;Ciencias exactas y naturales ;Facultad de Ciencias Exactas, Ingeniería y Agrimensura, Universidad Nacional de Rosario
