Título;ISSN impresa;ISSN en linea;Instituto;URL
CIENCIAS AGRONOMICAS;1853-4333;2250-8872;UNIV NACL ROSARIO, FAC CIENCIAS AGRARIAS , UNIV NACL ROSARIO, FAC CIENCIAS AGRARIAS, ROSARIO, ARGENTINA, 00000;
CINE DOCUMENTAL;1852-4699;;CINE DOCUMENTAL , VENEZUELA, 3318, BUENOS AIRES, ARGENTINA, C1211AAL;
COMUNICACIONES DEL MUSEO PROVINCIAL DE CIENCIAS NATURALES FLORENTINO AMEGHINO;0325-3856;;MUSEO PROVINCIAL DE CIENCIAS NATURALES FLORENTINO AMEGHINO , PRIMERA JUNTA, 2859, SANTE FE, ARGENTINA, 3000;
COORDENADAS-REVISTA DE HISTORIA LOCAL Y REGIONAL;2362-4752;;UNIV NAC RIO CUARTO , RUTA NAC 36 KM 601, CAMPUS UNIV, CORDOBA, ARGENTINA, X5800BYA;
CUADERNOS DE HERPETOLOGIA;1852-5768;;ASOC HERPETOL ARGENTINA , INSTIT HERPETOLOGIA, FUNDACION MIGUEL LILLO, MIGUEL LILLO, ARGENTINA, TUCUMAN, 251;
CUADERNOS DEL CIMBAGE;1666-5112;1669-1830;UNIV BUENOS AIRES, CENT INVEST & METODOLOGIA BORRASA APL GESTION & ECON , AVE CORDOBA 2122 PISO 2, BUENOS AIRES, ARGENTINA, 1120;
CUESTIONES DE SOCIOLOGIA;1668-1584;2346-8904;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
DARWINIANA NUEVA SERIE;0011-6793;1850-1699;INST BOTANICA DARWINION , C/O SR. DIRECTOR, CASILLA CORREO 22, SAN ISIDRO, ARGENTINA, BUENOS AIRES, 00000;
DEBATE UNIVERSITARIO;2314-2138;2314-1530;UNIV ABIERTA INTERAMERICANA , CHACABUCO 90, 1 Piso, BUENOS AIRES, Argentina, 1069;
DERECHO Y CIENCIAS SOCIALES;1853-0982;1852-2971;UNIV NAC LA PLATA, FAC HUMANIDADES & CIENCIAS EDUC , CALLE 48 E-6 & 7,PISO 5, OF 517, LA PLATA, ARGENTINA, BUENOS AIRES, 1900;
