Título;ISSN impresa;ISSN en linea;Instituto;Editora;URL
Ciencia, Docencia y Tecnología;0327-5566;1851-1716;Universidad Nacional de Entre Ríos;Universidad Nacional de Entre Ríos;https://doaj.org/toc/1851-1716
Revista de Educación en Biología;0329-5192;2344-9225;Argentine Association of Biology Teachers (Asociación de Docentes de Biología de Argentina);Argentine Association of Biology Teachers (Asociación de Docentes de Biología de Argentina);https://doaj.org/toc/2344-9225
La Cifra Impar;;2953-3627;;Universidad del Cine;https://doaj.org/toc/2953-3627
Vivomatografías;;2469-0767;Núcleo de Estudios sobre Precine y Cine Silente Latinoamericano;Núcleo de Estudios sobre Precine y Cine Silente Latinoamericano;https://doaj.org/toc/2469-0767
Filología;0071-495X;2422-6009;Instituto de Filología y Literaturas Hispánicas “Dr. Amado Alonso”;Universidad de Buenos Aires, Facultad de Filosofía y Letras;https://doaj.org/toc/2422-6009
Ciencias Económicas;1666-8359;2362-552X;Universidad Nacional del Litoral, Facultad de Ciencias Económicas;Universidad Nacional del Litoral;https://doaj.org/toc/2362-552X
Darwiniana;0011-6793;1850-1702;Instituto de Botánica Darwinion y el Museo Botánico de Córdoba;Instituto de Botánica Darwinion y el Museo Botánico de Córdoba;https://doaj.org/toc/1850-1702
Cuestión Urbana;;2545-6881;Universidad de Buenos Aires, Centro de Estudios de la Ciudad;Universidad de Buenos Aires;https://doaj.org/toc/2545-6881
Revista del IICE;0327-7763;2451-5434;Instituto de Investigaciones en Ciencias de la Educación-FFYL-UBA;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://doaj.org/toc/2451-5434
Revista Electrónica de Didáctica en Educación Superior;;1853-3159;Universidad de Buenos Aires, Ciclo Básico Común, Biología para el Tercer Milenio;Universidad de Buenos Aires;https://doaj.org/toc/1853-3159
Area;0328-1337;2591-5312;Universidad de Buenos Aires. Facultad de Arquitectura, Diseño y Urbanismo;Universidad de Buenos Aires. Facultad de Arquitectura, Diseño y Urbanismo;https://doaj.org/toc/2591-5312
RIA: Revista Investigaciones Agropecuarias;0325-8718;1669-2314;Instituto Nacional de Tecnología Agropecuaria (INTA);Instituto Nacional de Tecnología Agropecuaria (INTA);https://doaj.org/toc/1669-2314
Nuevo Itinerario;;1850-3578;Universidad Nacional del Nordeste, Facultad de Humanidades, Instituto de Filosofía;Universidad Nacional del Nordeste;https://doaj.org/toc/1850-3578
Relaciones Internacionales;1515-3371;2314-2766;Universidad Nacional de La Plata. Facultad de Ciencias Jurídicas y Sociales. Instituto de Relaciones Internacionales;Universidad Nacional de La Plata;https://doaj.org/toc/2314-2766
Revista Foro de Educación Musical, Artes y Pedagogía;2545-7101;2525-1317;Mutual Arte y Educación. Editorial Arte y Pedagogía;Editorial Arte y Pedagogía, Mutual Arte y Educación;https://doaj.org/toc/2525-1317
Historia de la Educación Anuario;;2313-9277;Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación (SAIEHE);Sociedad Argentina de Investigación y Enseñanza en Historia de la Educación (SAIEHE);https://doaj.org/toc/2313-9277
Telondefondo : Revista de Teoría y Crítica Teatral;;1669-6301;Facultad de Filosofía y Letras (UBA);Universidad de Buenos Aires;https://doaj.org/toc/1669-6301
Anuario Digital (Escuela de Historia. Facultad de Humanidades y Artes. Universidad Nacional de Rosario);0327-215X;1853-8835;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Escuela de Historia;Universidad Nacional de Rosario;https://doaj.org/toc/1853-8835
Revista de la Facultad de Agronomía;0041-8676;1669-9513;;Universidad Nacional de La Plata, Facultad de Ciencias Agrarias y Forestales;https://doaj.org/toc/1669-9513
Salud Colectiva;1669-2381;1851-8265;;Instituto de Salud Colectiva, Universidad Nacional de Lanús;https://doaj.org/toc/1851-8265
Revista Colección;0328-7998;1850-003X;;Pontificia Universidad Católica Argentina, Facultad de Ciencias Sociales, Departamento de Ciencias Políticas y Relaciones Internacionales;https://doaj.org/toc/1850-003X
Revista Entramados;;2422-6459;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Centro de Investigaciones multidisciplinarias en Educación;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2422-6459
Sudamérica;2250-7779;2314-1174;Universidad Nacional de Mar del Plata, Centro de Estudios Sociales y Políticos;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2314-1174
Boletín de Estudios Geográficos;0374-6186;2525-1813;;Instituto de Geografía, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://doaj.org/toc/2525-1813
Diálogos Pedagógicos;1667-2003;2524-9274;Universidad Católica de Córdoba, Facultad de Educación;Universidad Católica de Córdoba;https://doaj.org/toc/2524-9274
Armiliar;;2545-7888;;Universidad Nacional de La Plata, Facultad de Bellas Artes;https://doaj.org/toc/2545-7888
Itinerarios Educativos;1850-3853;2362-5554;Universidad Nacional del Litoral, Facultad de Humanidades y Ciencias, Instituto de Desarrollo e Investigación para la Formación Docente;Universidad Nacional del Litoral;https://doaj.org/toc/2362-5554
Descentrada;;2545-7284;Universidad Nacional de La Plata;Centro Interdisciplinario de Investigaciones en Género (CInIG);https://doaj.org/toc/2545-7284
Mora;0328-8773;1853-001X;Facultad de Filosofía y Letras, Universidad de Buenos Aires;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://doaj.org/toc/1853-001X
Ecología Austral;0327-5477;1667-782X;;Asociación Argentina de Ecología;https://doaj.org/toc/1667-782X
FAVE Sección Ciencias Veterinarias;;2362-5589;Universidad Nacional del Litoral, Facultad de Ciencias Veterinarias;Universidad Nacional del Litoral;https://doaj.org/toc/2362-5589
Revista de Arqueología Histórica Argentina y Latinoamericana;1851-3190;2344-9918;;Asociación de Arqueólogos Profesionales de la República Argentina;https://doaj.org/toc/2344-9918
Analecta Veterinaria;0365-5148;1514-2590;Universidad Nacional de La Plata, Facultad de Ciencias Veterinarias;Universidad Nacional de La Plata;https://doaj.org/toc/1514-2590
Anales;0075-7411;2591-6386;Universidad Nacional de La Plata, Facultad de Ciencias Jurídicas y Sociales;Universidad Nacional de La Plata;https://doaj.org/toc/2591-6386
El Hornero;0073-3407;1850-4884;;Aves Argentinas;https://doaj.org/toc/1850-4884
Aura: Revista de Historia y Teoría del Arte;;2347-0135;;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://doaj.org/toc/2347-0135
Epistemus;;1853-0494;Sociedad Argentina para las Ciencias Cognitivas de la Música;Universidad Nacional de La Plata;https://doaj.org/toc/1853-0494
Enfoques;1514-6006;1669-2721;Asociación Colegio Adventista del Plata;Editorial Universidad Adventista del Plata;https://doaj.org/toc/1669-2721
Escritos Contables y de Administración;1853-2063;1853-2055;Universidad Nacional del Sur, Departamento de Ciencias de la Administración;Editorial de la Universidad Nacional del Sur (Ediuns);https://doaj.org/toc/1853-2055
Estudios de Teoría Literaria;;2313-9676;Universidad Nacional de Mar del Plata, Facultad de Humanidades, Departamento de Letras, Grupo de Investigación Estudios de Teoría Literaria;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2313-9676
Anales del Instituto de Arte Americano e Investigaciones Estéticas "Mario J. Buschiazzo";0328-9796;2362-2024;Instituto de Arte Americano e Investigaciones Estéticas "Mario J. Buschiazzo";Universidad de Buenos Aires;https://doaj.org/toc/2362-2024
Serie Correlación Geológica;1514-4186;1666-9479;;Instituto Superior de Correlación Geológica;https://doaj.org/toc/1666-9479
Delito y Sociedad: Revista de Ciencias Sociales;0328-0101;2468-9963;Universidad Nacional del Litoral;Universidad Nacional del Litoral;https://doaj.org/toc/2468-9963
Revista Latinoamericana de Filosofía;0325-0725;1852-7353;;Centro de Investigaciones Filosóficas;https://doaj.org/toc/1852-7353
Antigua Matanza;;2545-8701;;Universidad Nacional de La Matanza, Secretaría de Extensión Universitaria, Junta de Estudios Históricos de la Matanza;https://doaj.org/toc/2545-8701
Cultura Económica;1852-0588;1852-5342;;Pontificia Universidad Católica Argentina, Facultad de Ciencias Económicas, Centro de Estudios en Economía y Cultura;https://doaj.org/toc/1852-5342
Revista Latinoamericana de Filosofía Política;;2250-8619;;Centro de Investigaciones Filosóficas;https://doaj.org/toc/2250-8619
Revista de la Carrera de Sociología;;1853-6484;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Carrera de Sociología;Carrera de Sociología de la Facultad de Ciencias Sociales de la Universidad de Buenos Aires;https://doaj.org/toc/1853-6484
Textos y Contextos desde el Sur;;2347-081X;Universidad Nacional de la Patagonia San Juan Bosco;Universidad Nacional de la Patagonia San Juan Bosco;https://doaj.org/toc/2347-081X
Runa;0325-1217;1851-9628;Instituto de Ciencias Antropológicas, Facultad de Filosofía y Letras (Universidad de Buenos Aires);Universidad de Buenos Aires;https://doaj.org/toc/1851-9628
Question;;1669-6581;Universidad Nacional de La Plata;Universidad Nacional de La Plata;https://doaj.org/toc/1669-6581
Revista de Psicología;;2422-572X;Universidad Nacional de La Plata, Facultad de Psicología;Universidad Nacional de La Plata;https://doaj.org/toc/2422-572X
Reseñas de Enseñanza de la Historia;1668-8864;2796-9304;Asociación de Profesores de Enseñanza de la Historia de Universidades Nacionales -APEHUN-;Asociación de Profesores de Enseñanza de la Historia de Universidades Nacionales -APEHUN-;https://doaj.org/toc/2796-9304
A&P Continuidad;2362-6089;2362-6097;Universidad Nacional de Rosario, Facultad de Arquitectura, Planeamiento y Diseño;Universidad Nacional de Rosario;https://doaj.org/toc/2362-6097
Avá;1515-2413;1851-1694;;Universidad Nacional de Misiones;https://doaj.org/toc/1851-1694
Rince;;1851-3239;Universidad Nacional de la Matanza, Departamento de Ciencias Económicas;Universidad Nacional de La Matanza;https://doaj.org/toc/1851-3239
Revista Argentina de Cirugía;0048-7600;2250-639X;;Asociación Argentina de Cirugía;https://doaj.org/toc/2250-639X
Práctica Arqueológica;;2618-2874;Asociación de Arqueólogos Profesionales de la República Argentina;Asociación de Arqueólogos Profesionales de la República Argentina;https://doaj.org/toc/2618-2874
Revista de Estudios sobre Genocidio;1851-8184;2362-3985;Universidad Nacional de Tres de Febrero, Centro de Estudios sobre Genocidio;Universidad Nacional de Tres de Febrero;https://doaj.org/toc/2362-3985
Boletín de Arte;1853-0710;2314-2502;Universidad Nacional de La Plata, Facultad de Bellas Artes;Papel Cosido;https://doaj.org/toc/2314-2502
Estudios Sociales del Estado;;2422-7803;Instituto de Desarrollo Económico y Social (IDES);Centro de Investigaciones Sociales (CIS);https://doaj.org/toc/2422-7803
Imagofagia;;1852-9550;Asociación Argentina de Estudios de Cine y Audiovisual;Asociación Argentina de Estudios de Cine y Audiovisual;https://doaj.org/toc/1852-9550
Archivos de Ciencias de la Educación;;2346-8866;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación;Universidad Nacional de La Plata;https://doaj.org/toc/2346-8866
Arte e Investigación;1850-2334;2469-1488;Universidad Nacional de La Plata, Facultad de Bellas Artes;Papel Cosido;https://doaj.org/toc/2469-1488
Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología;1851-0086;1850-9959;;Red de Universidades Nacionales con Carreras de Informática;https://doaj.org/toc/1850-9959
Revista de Salud Pública;1853-1180;1852-9429;Escuela de Salud Pública (Facultad de Ciencias Médicas);Universidad Nacional de Córdoba;https://doaj.org/toc/1852-9429
Dominguezia;0327-2818;1669-6859;Universidad de Buenos Aires, Facultad de Farmacia y Bioquímica;Museo de Farmacobotánica "Juan A. Domínguez";https://doaj.org/toc/1669-6859
IXTLI;;2408-4751;Asociación Latinoamericana de Filosofía de la educación;Asociación Latinoamericana de Filosofía de la Educación;https://doaj.org/toc/2408-4751
Quintú Quimün;;2591-541X;Universidad Nacional del Comahue, Facultad de Lenguas;Universidad Nacional del Comahue;https://doaj.org/toc/2591-541X
DavarLogos;1666-7832;1853-9106;Asociación Colegio Adventista del Plata;Editorial Universidad Adventista del Plata;https://doaj.org/toc/1853-9106
Dios y el Hombre;;2618-2858;Seminario Mayor San José de La Plata;Universidad Nacional de La Plata;https://doaj.org/toc/2618-2858
Anuario IEHS;0326-9671;2524-9339;;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas, Instituto de Estudios Histórico-Sociales;https://doaj.org/toc/2524-9339
Tecnología y Ciencia;1666-6917;1666-6933;;Universidad Tecnologica Nacional;https://doaj.org/toc/1666-6933
Journal de Ciencias Sociales;;2362-194X;Universidad de Palermo, Facultad de Ciencias Sociales;Universidad de Palermo;https://doaj.org/toc/2362-194X
Anuario de la Escuela de Historia Virtual;;1853-7049;Escuela de Historia;Universidad Nacional de Córdoba;https://doaj.org/toc/1853-7049
Biología Acuática;;1668-4869;Instituto de Limnología "Raúl A. Ringuelet. (CONICET-UNLP);Instituto de Limnología "Raúl A. Ringuelet. (CONICET-UNLP);https://doaj.org/toc/1668-4869
Urbania;1853-7626;2591-5681;;Arqueocoop LTDA;https://doaj.org/toc/2591-5681
Revista de la Asociación Argentina de Ortopedia y Traumatología;1515-1786;1852-7434;;Asociación Argentina de Ortopedia y Traumatología;https://doaj.org/toc/1852-7434
Synthesis (La Plata);0328-1205;1851-779X;Centro de Estudios Helénicos;Universidad Nacional de La Plata;https://doaj.org/toc/1851-779X
Revista de Nefrología, Diálisis y Trasplante;0326-3428;2346-8548;Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires;Asociación Regional de Diálisis y Trasplantes Renales de Capital Federal y Provincia de Buenos Aires;https://doaj.org/toc/2346-8548
Pasado Abierto;;2451-6961;;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2451-6961
Análisis Filosófico;0326-1301;1851-9636;Sociedad Argentina de Análisis Filosófico (SADAF);Sociedad Argentina de Análisis Filosófico (SADAF);https://doaj.org/toc/1851-9636
Latin American Journal of Sedimentology and Basin Analysis;1669-7316;1851-4979;;Asociación Argentina de Sedimentología;https://doaj.org/toc/1851-4979
Revista Eurolatinoamericana de Derecho Administrativo;;2362-583X;Red Docente Eurolatinoamericana de Derecho Administrativo;Universidad Nacional del Litoral;https://doaj.org/toc/2362-583X
Revista Argentina de Investigación Educativa;;2796-7433;Universidad Pedagógica Nacional;Universidad Pedagógica Nacional;https://doaj.org/toc/2796-7433
RevIISE;;2250-5555;;IISE;https://doaj.org/toc/2250-5555
Realidad, Tendencias y Desafíos en Turismo;1850-4787;2545-6199;Universidad Nacional del Comahue, Facultad de Turismo;Universidad Nacional del Comahue;https://doaj.org/toc/2545-6199
Plaza Pública: Revista de Trabajo Social;;1852-2459;Universidad Nacional del Centro de la Provincia de Buenos Aires, Facultad de Ciencias Humanas. Carrera de Trabajo Social;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://doaj.org/toc/1852-2459
Estudios Digital;0328-185X;1852-1568;Universidad Nacional de Córdoba, Facultad de Ciencias Sociales;Universidad Nacional de Córdoba;https://doaj.org/toc/1852-1568
Revista Argentina de Reumatología;0327-4411;2362-3675;Sociedad Argentina de Reumatologia;Sociedad Argentina de Reumatologia;https://doaj.org/toc/2362-3675
Confabulaciones;;2545-8736;Facultad de Filosofía y Letras, Universidad Nacional de Tucumán;Instituto Interdisciplinario de Literaturas Argentina y Comparadas (IILAC);https://doaj.org/toc/2545-8736
Controversias y Concurrencias Latinoamericanas;;2219-1631;;Asociación Latinoamericana de Sociología;https://doaj.org/toc/2219-1631
Revista Argentina de Anatomía Clínica;;1852-8023;Asociación Argentina de Anatomía Clínica;Asociación Argentina de Anatomía Clínica;https://doaj.org/toc/1852-8023
Revista de Culturas y Literaturas Comparadas;1852-4737;2591-3883;Universidad Nacional de Córdoba, Facultad de Lenguas. Centro de Investigación en Literatura y Cultura;Universidad Nacional de Córdoba;https://doaj.org/toc/2591-3883
Revista de Geología Aplicada a la Ingeniería y al Ambiente;1851-7838;2422-5703;Asociacion Argentina de Geología Aplicada a la Ingeniería;Asociación Argentina de Geología Aplicada a la Ingenería;https://doaj.org/toc/2422-5703
Iberoamerican Journal of Project Management;;2346-9161;Red Iberoamericana de Ingeniería de Proyectos. RIIPRO.;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2346-9161
Odisea: Revista de Estudios Migratorios;;2408-445X;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani;Universidad de Buenos Aires;https://doaj.org/toc/2408-445X
Boletín de Historia Argentina y Americana Dr. Emilio Ravignani;0524-9767;1850-2563;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Historia Argentina y Americana Dr. Emilio Ravignani;Universidad de Buenos Aires;https://doaj.org/toc/1850-2563
REVCOM;;2451-7836;Asociación Civil Red de Carreras de Comunicación Social y Periodismo;Asociación Civil Red de Carreras de Comunicación Social y Periodismo;https://doaj.org/toc/2451-7836
Memoria Americana;0327-5752;1851-3751;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Ciencias Antropológicas, Sección Etnohistoria;Universidad de Buenos Aires;https://doaj.org/toc/1851-3751
Revista Industrial y Agrícola de Tucumán;0370-5404;1851-3018;Estación Experimental Agroindustrial Obi;Leonardo Daniel Ploper;https://doaj.org/toc/1851-3018
Argumentos : Revista de Crítica Social;;1666-8979;Universidad de Buenos Aires. Facultad de Ciencias Sociales. Instituto de Investigaciones Gino Germani;Instituto de Investigaciones Gino Germani, Facultad de Ciencias Sociales, Universidad de Buenos Aires;https://doaj.org/toc/1666-8979
Olivar: Revista de Literatura y Cultura Españolas;1515-1115;1852-4478;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación, Secretaría de Investigación, Centro de Estudios de Teoría y Crítica Literaria;Universidad Nacional de La Plata;https://doaj.org/toc/1852-4478
Información, Cultura y Sociedad;1514-8327;1851-1740;Universidad de Buenos Aires, Facultad de Filosofía y Letras, Instituto de Investigaciones Bibliotecológicas;Universidad de Buenos Aires;https://doaj.org/toc/1851-1740
Revista de Enseñanza de la Física;0326-7091;2250-6101;;Asociación de Profesores de Física de Argentina;https://doaj.org/toc/2250-6101
Actualidad Económica;0327-585X;2250-754X;Universidad Nacional de Córdoba, Facultad de Ciencias Económicas, Instituto de Economía y Finanzas;Universidad Nacional de Córdoba;https://doaj.org/toc/2250-754X
Paraguay desde las Ciencias Sociales;;2314-1638;Universidad de Buenos Aires, Instituto de Estudios de América Latina y el Caribe;Universidad de Buenos Aires;https://doaj.org/toc/2314-1638
Rey Desnudo: Revista de Libros;;2314-1204;;Rey Desnudo;https://doaj.org/toc/2314-1204
Archivos Argentinos de Pediatria;0325-0075;1668-3501;;Sociedad Argentina de Pediatria;https://doaj.org/toc/1668-3501
Heterotopías;;2618-2726;Universidad Nacional de Córdoba;Universidad Nacional de Córdoba;https://doaj.org/toc/2618-2726
Revista Latinoamericana de Metodologia de la Investigacion Social;;1853-6190;Ciudad Autónoma de Buenos Aires;Estudios Sociologicos Editora;https://doaj.org/toc/1853-6190
1991. Revista de Estudios Internacionales;;2683-720X;Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS) - Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad Nacional de Córdoba (UNC);CEA Unidad Ejecutora CONICET-UNC (20730);https://doaj.org/toc/2683-720X
Revista Argentina de Salud Pública;1852-8724;1853-810X;;Ministerio de Salud;https://doaj.org/toc/1853-810X
Agronomía & Ambiente;2314-2243;2344-9039;Universidad de Buenos Aires, Facultad de Agronomía;Universidad de Buenos Aires;https://doaj.org/toc/2344-9039
Punto Sur;;2683-7404;Instituto de Geografía Dr. Romualdo Ardissone;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://doaj.org/toc/2683-7404
Meteorologica;0325-187X;1850-468X;;Centro Argentino de Meteorólogos;https://doaj.org/toc/1850-468X
SaberEs;1852-4184;1852-4222;Universidad Nacional de Rosario, Facultad de Ciencias Económicas y Estadística;Universidad Nacional de Rosario;https://doaj.org/toc/1852-4222
Revista UCES D.G. "Enseñanza y Aprendizaje del Diseño;;2344-9551;;Universidad de Ciencias Empresariales y Sociales;https://doaj.org/toc/2344-9551
Praxis Educativa;0328-9702;2313-934X;;Universidad Nacional de La Pampa;https://doaj.org/toc/2313-934X
Cuadernos Medievales;;2451-6821;Facultad de Humanidades;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2451-6821
Revista Latinoamericana de Metodología de las Ciencias Sociales;;1853-7863;Universidad Nacional de La Plata, Facultad de Humanidades y Ciencias de la Educación, Centro Interdisciplinario de Metodología de las Ciencias Sociales;Universidad Nacional de La Plata;https://doaj.org/toc/1853-7863
Revista de Ciencias Empresariales;2468-9785;2468-9807;Córdoba Management School, Universidad Blas Pascal;Universidad Blas Pascal;https://doaj.org/toc/2468-9807
Characteristica Universalis Journal;;2313-9501;;Centro de Filosofía Clásica Alemana;https://doaj.org/toc/2313-9501
Población & Sociedad;0328-3445;1852-8562;;Universidad Nacional de La Pampa, Facultad de Ciencias Humanas;https://doaj.org/toc/1852-8562
Estudios del ISHiR;;2250-4397;;Consejo de Investigaciones Científicas y Técnicas Investigaciones Socio-Históricas Regionales;https://doaj.org/toc/2250-4397
Revista de la Red de Intercátedras de Historia de América Latina Contemporánea;;2250-7264;Universidad Nacional de Córdoba, Facultad de Filosofía, Escuela de Historia de América;Universidad Nacional de Córdoba;https://doaj.org/toc/2250-7264
Revista de la Unión Matemática Argentina;0041-6932;1669-9637;Unión Matemática Argentina;Unión Matemática Argentina;https://doaj.org/toc/1669-9637
Estudios Económicos;0425-368X;2525-1295;Universidad Nacional del Sur, Departamento de Economía, y CONICET, Instituto de Investigaciones Económicas y Sociales del Sur;Editorial de la Universidad Nacional del Sur (Ediuns);https://doaj.org/toc/2525-1295
Cuadernos de Extensión Universitaria de la UNLPam;2451-5930;2718-7500;;Universidad Nacional de La Pampa. Secretaría de Cultura y Extensión Universitaria;https://doaj.org/toc/2718-7500
Revista Administración Pública y Sociedad;;2524-9568;Universidad Nacional de Córdoba (UNC), Facultad de Ciencias Sociales, Instituto de Investigación y Formación en Administración Pública (IIFAP);Universidad Nacional de Córdoba (UNC);https://doaj.org/toc/2524-9568
Semiárida;2362-4337;2408-4077;Universidad Nacional de La Pampa, Facultad de Agronomía;Universidad Nacional de La Pampa;https://doaj.org/toc/2408-4077
Prudentia Iuris;0326-2774;2524-9525;Pontificia Universidad Católica Argentina, Facultad de Derecho;Pontificia Universidad Católica Argentina;https://doaj.org/toc/2524-9525
Visión de Futuro;1669-7634;1668-8708;;Universidad Nacional de Misiones;https://doaj.org/toc/1668-8708
Revista Latinoamericana en Discapacidad, Sociedad y Derechos Humanos;;2525-1643;Red Iberoamericana de Expertos sobre la Convención de los Derechos de las Personas con Discapacidad;Red Iberoamericana de Expertos sobre la Convención de los Derechos de las Personas con Discapacidad;https://doaj.org/toc/2525-1643
Acta Zoológica Lilloana;0065-1729;1852-6098;Fundación Miguel Lillo;Fundación Mguel Lillo;https://doaj.org/toc/1852-6098
Revista del Hospital de Niños;0521-517X;2314-1239;Hospital de Niños Ricardo Gutiérrez;Asociación de Profesionales del Hospital de Niños R. Gutiérez;https://doaj.org/toc/2314-1239
Austral Comunicación;2313-9129;2313-9137;Universidad Austral Argentina, Facultad de Comunicación;Universidad Austral Argentina;https://doaj.org/toc/2313-9137
Nuevo Pensamiento;;1853-7596;Universidad del Salvador,Instituto de Investigaciones Filosóficas de la Facultad de Filosofía, Historia, Letras y Estudios Orientales;Universidad del Salvador;https://doaj.org/toc/1853-7596
Revista Estudios Ambientales;;2347-0941;Universidad Nacional del Centro de la Provincia de Buenos Aires Facultad de Ciencias Humanas Centro de Investigaciones y Estudios Ambientales;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://doaj.org/toc/2347-0941
Diferencia(s);;2469-1100;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani, Grupo De Estudios Sobre Estructuralismo Y Posestructuralismo;Universidad de Buenos Aires;https://doaj.org/toc/2469-1100
El Taco en la Brea;;2362-4191;;Universidad Nacional del Litoral;https://doaj.org/toc/2362-4191
Horticultura Argentina;0327-3431;1851-9342;Asociación Argentina de Horticultura (ASAHO);Asociación Argentina de Horticultura (ASAHO);https://doaj.org/toc/1851-9342
Revista de Historia Americana y Argentina;0556-5960;2314-1549;;Instituto de Historia Americana y Argentina. Facultad de Filosofía y Letras. Universidad Nacional de Cuyo;https://doaj.org/toc/2314-1549
Revista de Economía y Estadística;0034-8066;2451-7321;Universidad Nacional de Córdoba, Facultad de Ciencias Económicas, Instituto de Economía y Finanzas;Universidad Nacional de Córdoba;https://doaj.org/toc/2451-7321
Raigal;;2469-1216;Universidad Nacional de Villa María, Instituto Académico Pedagógico de Ciencias Sociales;Universidad Nacional de Villa María;https://doaj.org/toc/2469-1216
Revista Digital de Políticas Lingüísticas;;1853-3256;Universidad Nacional de Córdoba, Facultad de Lenguas;Asociación de Universidades Grupo Montevideo;https://doaj.org/toc/1853-3256
Psicodebate;1515-2251;2451-6600;;Universidad de Palermo;https://doaj.org/toc/2451-6600
Extensión en Red;;1852-9569;Universidad Nacional de La Plata, Facultad de Periodismo y Comunicación Social;Universidad Nacional de La Plata;https://doaj.org/toc/1852-9569
Cuadernos de Antropología Social;0327-3776;1850-275X;;Universidad de Buenos Aires;https://doaj.org/toc/1850-275X
Divulgatio;;2591-3530;Universidad Nacional de Quilmes, Secretaría de Posgrado;Universidad Nacional de Quilmes;https://doaj.org/toc/2591-3530
Publicación Electrónica de la Asociación Paleontológica Argentina;;2469-0228;Asociación Paleontológica Argentina;Asociación Paleontológica Argentina;https://doaj.org/toc/2469-0228
Badebec;;1853-9580;Universidad Nacional de Rosario, Facultad de Humanidades y Artes, Centro de Estudios de Teoría y Crítica Literaria;Universidad Nacional de Rosario;https://doaj.org/toc/1853-9580
Cuadernos del CIMBAGE;1666-5112;1669-1830;Instituto de Investigaciones en Administración, Contabilidad y Métodos Cuantitativos para la Gestión (IADCOM) - Centro de Investigación en Metodologías Básicas y Aplicadas a la Gestión (CIMBAGE);Universidad de Buenos Aires - Facultad de Ciencias Económicas;https://doaj.org/toc/1669-1830
Saberes y Prácticas: Revista de Filosofía y Educación;;2525-2089;;Centro de Investigaciones Interdisciplinarias de Filosofía en la Escuela, Facultad de Filosofía y Letras, Universidad Nacional de Cuyo;https://doaj.org/toc/2525-2089
Educación Física y Ciencia;1514-0105;2314-2561;Facultad de Humanidades y Ciencias de la Educación, Departamento de Educación Física;Universidad Nacional de La Plata;https://doaj.org/toc/2314-2561
Revista Contenciosa;;2347-0011;Centro de Estudios Sociales Interdisciplinarios del Litoral, Facultad de Humanidades y Ciencias de la Universidad Nacional del Litoral;Ediciones UNL;https://doaj.org/toc/2347-0011
Revista Iberoamericana de la Propiedad Intelectual;;2422-569X;;Universidad Austral;https://doaj.org/toc/2422-569X
Revista Binacional Brasil - Argentina;;2316-1205;Universidade Estadual do Sudoeste da Bahia;Universidade Estadual do Sudoeste da Bahia;https://doaj.org/toc/2316-1205
Culturas;1515-3738;2362-5538;Universidad Nacional del Litoral, Facultad de Humanidades y Ciencias;Universidad Nacional del Litoral;https://doaj.org/toc/2362-5538
Revista Electrónica de Derecho Internacional Contemporáneo;2618-3048;2618-303X;;Universidad Nacional de La Plata;https://doaj.org/toc/2618-303X
Cuadernos de Economía Crítica;2408-400X;2525-1538;Sociedad de Economía Crítica de Argentina y Uruguay;Sociedad de Economía Crítica de Argentina y Uruguay;https://doaj.org/toc/2525-1538
Estudios Socioterritoriales: Revista de Geografía;1515-6206;1853-4392;CONICET - UNCPBA. Instituto de Geografía, Historia y Ciencias Sociales. Centro de Investigaciones Geográficas.;Universidad Nacional del Centro de la Provincia de Buenos Aires;https://doaj.org/toc/1853-4392
Calamus;;2545-627X;Sociedad Argentina de Estudios Medievales;Sociedad Argentina de Estudios Medievales;https://doaj.org/toc/2545-627X
