Título;ISSN impresa;ISSN en linea;Instituto;Editora;URL
Clepsidra;;2362-2075;;Instituto de Desarrollo Económico y Social-Consejo Nacional de Investigaciones Científicas y Técnicas;https://doaj.org/toc/2362-2075
Antiguos Jesuitas en Iberoamérica;;2314-3908;Centro de Investigaciones y Estudios sobre Cultura y Sociedad (CIECS) - Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET) - Universidad Nacional de Córdoba (UNC);Centro de Investigaciones sobre Cultura y Sociedad, Consejo Nacional de Investigaciones Científicas y Técnicas, Universidad Nacional de Córdoba;https://doaj.org/toc/2314-3908
Proyección;;1852-0006;Instituto de Cartografía, Investigación y Formación para el Ordenamiento Territorial. Universidad Nacional de Cuyo;Universidad Nacional de Cuyo;https://doaj.org/toc/1852-0006
Artroscopia;1851-2828;1853-4759;Asociacion Argentina de Artroscopia;Asociacion Argentina de Artroscopia;https://doaj.org/toc/1853-4759
Intersticios;;2250-6543;Universidad Nacional de Córdoba, Facultad de Filosofía y Humanidades, Centro de Investigaciones;Universidad Nacional de Córdoba;https://doaj.org/toc/2250-6543
Registros;;2250-8112;Universidad Nacional de Mar del Plata, Facultad de Arquitectura, Urbanismo y Diseño;Universidad Nacional de Mar del Plata;https://doaj.org/toc/2250-8112
Estudios de Filosofía Práctica e Historia de las Ideas;1515-7180;1851-9490;Grupo de investigación de Filosofía Práctica e Historia de las Ideas INCIHUSA Instituto de Ciencias Humanas, Sociales y Ambientales CCT Centro Científico Tecnológico Mendoza - CONICET;Grupo de investigación de Filosofía Práctica e Historia de las Ideas INCIHUSA Instituto de Ciencias Humanas, Sociales y Ambientales CCT Centro Científico Tecnológico Mendoza - CONICET;https://doaj.org/toc/1851-9490
Scripta Ethnologica;0325-6669;1669-0990;;Centro Argentino de Etnología Americana;https://doaj.org/toc/1669-0990
Contabilidad y Auditoría;1515-2340;1852-446X;;Universidad de Buenos Aires;https://doaj.org/toc/1852-446X
Informes Científicos y Técnicos (Universidad Nacional de la Patagonia Austral);;1852-4516;;Universidad Nacional de la Patagonia Austral;https://doaj.org/toc/1852-4516
Estudios Rurales;;2250-4001;Universidad Nacional de Quilmes, Centro de Estudios de la Argentina Rural;Universidad Nacional de Quilmes;https://doaj.org/toc/2250-4001
Pampa: Revista Interuniversitaria de Estudios Territoriales;1669-3299;2314-0208;Universidad Nacional del Litoral;Universidad Nacional del Litoral;https://doaj.org/toc/2314-0208
Revista Argentina de Antropología Biológica;1514-7991;1853-6387;;Asociación de Antropología Biológica Argentina;https://doaj.org/toc/1853-6387
Revista del CISEN;;2344-9594;Universidad Nacional de Salta, Centro de Investigaciones Sociales y Educativas del Norte Argentino;Universidad Nacional de Salta;https://doaj.org/toc/2344-9594
Res Gesta;0325-772X;2525-0884;Pontificia Universidad Católica Argentina, Facultad de Derecho y Ciencias Sociales del Rosario, Instituto de Historia;Pontificia Universidad Católica Argentina;https://doaj.org/toc/2525-0884
Revista Tramas y Redes;;2796-9096;Consejo Latinoamericano de Ciencias Sociales;Consejo Latinoamericano de Ciencias Sociales;https://doaj.org/toc/2796-9096
Educación, Formación e Investigación;;2422-5975;;Ministerio de Educación, Dirección General de Educación Superior;https://doaj.org/toc/2422-5975
Artilugio;;2408-462X;National University of Cordoba (UNC), Faculty of Arts, CePIA (Arts Production and Research Center);EdFA - Editorial de la Facultad de Artes UNC;https://doaj.org/toc/2408-462X
E-l@tina: Revista Electrónica de Estudios Latinoamericanos;;1666-9606;Grupo de Estudios de Sociología Histórica de América Latina;Universidad de Buenos Aires;https://doaj.org/toc/1666-9606
Tábano;1852-7221;2591-572X;Pontificia Universidad Católica Argentina;Pontificia Universidad Católica Argentina;https://doaj.org/toc/2591-572X
Revista de la Sociedad Argentina de Diabetes;0325-5247;2346-9420;Sociedad Argentina de Diabetes;Sello Editorial Lugones;https://doaj.org/toc/2346-9420
Hematología;0329-0379;2250-8309;Sociedad Argentina de Hemagología;Sociedad Argentina de Hematología;https://doaj.org/toc/2250-8309
Revista Chuy;;2422-5932;Universidad Nacional de Tres de Febrero, Instituto de Investigaciones en Arte y Cultura "Dr. Norberto Griffa", Programa de Estudios Latinoamericanos, Contemporáneos y Comparados;Universidad Nacional de Tres de Febrero;https://doaj.org/toc/2422-5932
La Aljaba;0328-6169;1669-5704;Universidad Nacional de La Pampa,Universidad Nacional de Luján,Universidad Nacional del Comahue;Universidad Nacional de La Pampa, Universidad Nacional de Luján, Universidad Nacional del Comahue;https://doaj.org/toc/1669-5704
Conflicto Social;;1852-2262;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani, Programa de Investigaciones sobre Conflicto Social;Universidad de Buenos Aires, Facultad de Ciencias Sociales, Instituto de Investigaciones Gino Germani;https://doaj.org/toc/1852-2262
Revista del Museo de Antropologia;1852-060X;1852-4826;;Museo de Antropologia;https://doaj.org/toc/1852-4826
Párrafos Geográficos;;1853-9424;Universidad Nacional de la Patagonia San Juan Bosco;Instituto de Investigaciones Geográficas de la Patagonia;https://doaj.org/toc/1853-9424
Revista +E;2250-4591;2346-9986;;Universidad Nacional del Litoral;https://doaj.org/toc/2346-9986
Historia & Guerra;;2796-8650;;Facultad de Filosofía y Letras, Universidad de Buenos Aires;https://doaj.org/toc/2796-8650
Anuario del Instituto de Historia Argentina;1668-950X;2314-257X;Facultad de Humanidades y Ciencias de la Educación;Universidad Nacional de La Plata;https://doaj.org/toc/2314-257X
Ciencia del Suelo;0326-3169;1850-2067;Asociacion Argentina de la Ciencia del Suelo;Asociación Argentina de la Ciencia del Suelo;https://doaj.org/toc/1850-2067
Revista IRICE;0327-392X;2618-4052;Instituto Rosario de Investigaciones en Ciencias de la Educacion (IRICE) CONICET/UNR;IRICE (CONICET/UNR);https://doaj.org/toc/2618-4052
Revista Teología;0328-1396;2683-7307;Pontificia Universidad Católica Argentina;Pontificia Universidad Católica Argentina;https://doaj.org/toc/2683-7307
Revista del Museo Argentino de Ciencias Naturales;1514-5158;1853-0400;;Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigación de las Ciencias Naturales;https://doaj.org/toc/1853-0400
